157721,1365065
156865,1365065
155993,1365065
155106,1365065
154203,1365065
153284,1365065
152350,1365065
151400,1365065
150435,1365065
149455,1365065
148460,1365065
147449,1365065
146423,1365065
145382,1365065
144329,1365065
143260,1365065
142175,1365065
141076,1365065
139962,1365065
138835,1365065
137692,1365065
136534,1365065
135361,1365065
134174,1365065
132972,1365065
131756,1365065
130525,1365065
129280,1365065
128020,1365065
126746,1365065
125459,1365065
124157,1365065
122841,1365065
121510,1365065
120165,1365065
118805,1365065
117431,1365065
116043,1365065
114641,1365065
113225,1365065
111796,1365065
110355,1365065
108899,1365065
107429,1365065
105946,1365065
104450,1365065
102941,1365065
101419,1365065
99884,1365065
98336,1365065
96776,1365065
95204,1365065
93620,1365065
92024,1365065
90417,1365065
88798,1365065
87168,1365065
85526,1365065
83873,1365065
82210,1365065
80536,1365065
78854,1365076
77165,1365095
75469,1365113
73767,1365131
72060,1365148
70346,1365165
68626,1365182
66900,1365200
65169,1365218
63431,1365238
61685,1365259
59929,1365282
58163,1365306
56385,1365332
54595,1365360
52794,1365390
50981,1365420
49156,1365451
47320,1365482
45472,1365514
43613,1365547
41742,1365580
39860,1365613
37966,1365646
36060,1365679
34143,1365713
32215,1365747
30275,1365781
28322,1365815
26358,1365849
24383,1365883
22397,1365917
20399,1365951
18390,1365986
16370,1366021
14338,1366056
12295,1366091
10240,1366126
8174,1366162
6097,1366198
4008,1366234
1908,1366270
-203,1366306
-2325,1366342
-4458,1366379
-6603,1366416
-8759,1366453
-10926,1366490
-13104,1366527
-15293,1366565
-17493,1366603
-19705,1366641
-21927,1366679
-24161,1366717
-26406,1366755
-28662,1366794
-30929,1366833
-33207,1366872
-35496,1366911
-37797,1366950
-40109,1366989
-42431,1367029
-44765,1367069
-47110,1367109
-49466,1367149
-51833,1367189
-54210,1367229
-56598,1367270
-58997,1367311
-61407,1367352
-63827,1367393
-66258,1367434
-68700,1367476
-71152,1367518
-73614,1367560
-76087,1367602
-78571,1367644
-81065,1367686
-83569,1367729
-86084,1367772
-88609,1367815
-91144,1367858
-93689,1367901
-96244,1367944
-98809,1367988
-101384,1368032
-103968,1368076
-106562,1368120
-109166,1368164
-111780,1368208
-114403,1368253
-117035,1368298
-119677,1368343
-122328,1368388
-124988,1368433
-127657,1368478
-130335,1368524
-133022,1368570
-135718,1368616
-138423,1368662
